osm_type,osm_id,name,brand,lat,lon
node,266753132,Aytemiz,Aytemiz,40.8968375,29.2249513
node,269367213,Opet,Opet,41.0260804,28.9797859
node,278335431,Petrol Ofisi,Petrol Ofisi,41.0288378,29.0174396
node,288789439,Petrol Ofisi,Petrol Ofisi,41.1141944,29.0599219
node,446288239,Class Petrol,Class Petrol,41.0001901,28.8007381
node,552869782,Shell,Shell,40.9989931,29.1549337
node,568011021,Opet,Opet,41.0550943,28.9992938
node,772439779,Shell Baban Petrol,Shell,41.0050371,29.0307907
node,932363710,Shell,Shell,41.05594,28.9977006
node,1670461592,Total,TotalEnergies,40.9876439,29.087031
node,1672420097,Shell,Shell,41.0877238,29.0177524
node,1695103519,Total,TotalEnergies,41.0042734,28.6841172
node,1713488174,Opet,Opet,40.9783258,29.1235487
node,1755203245,Total,TotalEnergies,40.9835054,29.0919078
node,1830235496,,,41.2275004,28.4916451
node,1905650685,Opet,Opet,40.8815155,29.2403352
node,1905900747,Shell,Shell,40.8756773,29.2328762
node,1907466158,Türkiye Petrolleri,Türkiye Petrolleri,40.8988275,29.3692152
node,1907466259,Türkiye Petrolleri,Türkiye Petrolleri,40.9085841,29.3609713
node,1920258400,Petrol Ofisi,Petrol Ofisi,41.0492898,29.0768296
node,2257504633,Aytemiz,Aytemiz,40.9676174,29.1026273
node,2257505250,BP,BP,40.9664225,29.1033193
node,2257506320,Total,TotalEnergies,40.966139,29.1047838
node,2264750239,Shell,Shell,41.0370814,29.1556729
node,2277832475,Alpet Gürpınar,Alpet,40.9961049,28.6252197
node,2363493667,,,40.8358408,29.323905
node,2392806044,,,41.1351115,28.4656276
node,2392806726,,,41.1579646,28.4545528
node,2392806728,,,41.1580163,28.4540224
node,2392986716,Opet,Opet,41.0156405,29.074591
node,2392986717,Shell,Shell,41.0167626,29.0760902
node,2429198871,Total,TotalEnergies,41.041378,28.832275
node,2610629148,Shell,Shell,40.8868524,29.2399111
node,2716711598,Shell Şenlikköy,Shell,40.9879309,28.7960684
node,2861685236,Shell,Shell,41.0948934,27.996901
node,2861685291,,,41.0957083,27.9997462
node,2928531148,Opet,Opet,40.9994399,28.7135734
node,2999419474,Shell,Shell,40.97084,29.083573
node,3095087044,,,41.0880723,29.3438026
node,3130909268,Opet,Opet,41.0080248,28.8816979
node,3170739257,Shell - Karma Grup,Shell,40.9897124,28.6651997
node,3474488522,BP,BP,41.0947275,29.0975854
node,3474488524,Shell,Shell,41.0799651,29.0708251
node,3474488526,,,41.081143,29.0770445
node,3728846486,Kurtuluş Total,,41.0446779,28.9783544
node,3790969409,Opet,Opet,41.1175416,29.0234658
node,3955643614,Shell,Shell,40.937381,29.1410698
node,3996188487,BP,BP,41.0601831,28.6884886
node,3996189675,BP,BP,41.0600444,28.6880999
node,4165097565,Best House rental of apartment,Best,41.0501819,29.0237229
node,4255747089,Aytemiz,Aytemiz,41.062944,28.9508759
node,4303169790,Türkiye Petrolleri,,41.0800851,28.7940823
node,4309080389,Petrol Ofisi,Petrol Ofisi,40.893878,29.3550994
node,4371188639,Petrol Ofisi,Petrol Ofisi,41.101313,29.2901302
node,4371188640,Shell,Shell,41.0920655,29.2878451
node,4416266553,Petrol Ofisi,Petrol Ofisi,41.0085765,29.2016649
node,4419028247,occidental pees hotel Istanbul,Occidental,41.0337252,28.9758177
node,4442145256,Opet,Opet,40.8811477,29.2553456
node,4527983519,Shell-Arpet Petrol,Shell,41.0079948,28.5374571
node,4580488790,Shell,Shell,40.8892845,29.1811831
node,4699018047,Opet Sultanbeyli,Opet,40.9612,29.282842
node,4699018050,Opet Pendik,Opet,40.9093711,29.2951636
node,4699018051,Opet Hoşdere Petrol,Opet,41.080441,28.652694
node,4699018057,Opet Küçükçekmece Halkalı,Opet,41.0292155,28.8065018
node,4699018077,Petrol Ofisi,Petrol Ofisi,41.0112488,29.0752818
node,4699018204,Opet Bakırköy,Opet,40.9877235,28.883948
node,4699018205,Opet Beyoğlu,Opet,41.041235,28.967225
node,4699018213,Opet Tuzla,Opet,40.9076681,29.3433329
node,4699018226,Opet Bahçelievler Çobançeşme,Opet,40.9930848,28.8272163
node,4699018227,Opet Bağcılar,Opet,41.0547206,28.8405747
node,4699018229,Opet Ümraniye,Opet,41.0225022,29.1159204
node,4699018232,Aytemiz,Aytemiz,41.0582146,28.7307071
node,4699018234,Opet,Opet,41.023118,28.686603
node,4699018235,Shell,Shell,40.9053415,29.2853766
node,4699018244,Petrol Ofisi,Petrol Ofisi,41.00829,29.02304
node,4699018247,Opet,Opet,40.881089,29.2323267
node,4699018248,Petrol Ofisi,Petrol Ofisi,40.891269,29.17731
node,4699018252,Opet Beylikdüzü,Opet,40.99775,28.6052587
node,4699018254,Opet Esenler Fevzi Çakmak,Opet,41.0490769,28.8768088
node,4699018255,Opet Bağcılar,Opet,41.0477,28.859748
node,4699018264,Opet Beylikdüzü,Opet,40.989872,28.668452
node,4699018265,Opet Bahçelievler,Opet,41.0115506,28.828365
node,4699018282,Opet Kartal,Opet,40.912108,29.191968
node,4699018284,Opet Esenyurt Güzelyurt,Opet,41.006514,28.6676766
node,4699018420,Opet Sultangazi,Opet,41.131936,28.826931
node,4699018428,Petrol Ofisi,Petrol Ofisi,40.9067741,29.2527557
node,4699018475,Mehmetçik Petrol,,41.032443,28.883817
node,4699018488,Opet Maltepe,Opet,40.9426842,29.1438714
node,4699018911,Opet Silivri,Opet,41.083953,28.036584
node,4699018931,Opet Silivri Büyükçavuşlu Rüya Petrol,Opet,41.2493765,28.0378966
node,4699018940,Opet İkitelli,Opet,41.060352,28.78946
node,4699018970,Opet Çekmeköy,Opet,41.109934,29.310702
node,4699019343,Opet Bağcılar Göztepe,Opet,41.0601373,28.8410873
node,4699019354,Opet,Opet,41.048424,28.984989
node,4699019360,Opet Ümraniye,Opet,41.0079553,29.2016636
node,4699019379,Opet Ataşehir,Opet,40.982402,29.106104
node,4699019380,Opet Arnavutköy,Opet,41.183317,28.597697
node,4699019947,Opet Pendik,Opet,40.9015949,29.2470027
node,4699019952,Opet Esenyurt,Opet,41.05038,28.62848
node,4699019968,Opet,Opet,40.895696,29.2490574
node,4699019969,Opet Tuzla,Opet,40.866335,29.3348073
node,4699020193,Opet Beykoz,Opet,41.094793,29.090877
node,4699020197,Opet Tuzla,,40.871794,29.371641
node,4699020285,Opet Tuzla,Opet,40.8374032,29.2960611
node,4699022949,Opet Sultanbeyli,Opet,40.9681282,29.2531294
node,4699022950,Opet Kartal,Opet,40.9104,29.211534
node,4699022951,Opet Ümraniye,Opet,40.98387,29.165959
node,4699022952,Opet Pendik,Opet,40.859498,29.2815455
node,4699022953,Opet Ataşehir,Opet,40.987731,29.143805
node,4699022955,Opet Bağcılar,Opet,41.050131,28.812081
node,4699022956,Opet Topkapı,Opet,41.019717,28.9088162
node,4699022960,Opet Islah Petrol,Opet,41.205103,28.728262
node,4699022962,Opet,Opet,41.031458,29.079681
node,4699022963,Opet Esenkent,Opet,41.0554191,28.6719297
node,4699022965,Opet Tuzla,Opet,40.883978,29.349287
node,4699022966,Shell Sabiha Gökçen,Shell,40.9266858,29.3175598
node,4699022970,Opet Ümraniye,Opet,41.008467,29.2159064
node,4699022971,Opet Büyükçekmece,Opet,41.064034,28.621961
node,4699022975,Opet Pendik,Opet,40.891373,29.233194
node,4699022981,Shell,Shell,41.028799,28.790782
node,4699023892,Opet Sancaktepe,Opet,41.007237,29.244293
node,4699023902,Opet Şile,Opet,41.156979,29.628344
